Nosaukums,Pakape,klases_burts,No,Lidz,Skaits,Kods,Programma,Licence,Pamatprogramma,Valoda
1. a,1,a,9/1/2020,8/31/2021,28,21011111,Pamatizglītības programma,Nav,Jā,Latviešu
1. b,1,b,9/1/2020,8/31/2021,28,21011111,Pamatizglītības programma,Nav,Jā,Latviešu
1. c,1,c,9/1/2020,8/31/2021,28,21011111,Pamatizglītības programma,Nav,Jā,Latviešu
1. d,1,d,9/1/2020,8/31/2021,28,21011111,Pamatizglītības programma,Nav,Jā,Latviešu
1. e,1,e,9/1/2020,8/31/2021,21,21011111,Pamatizglītības programma,Nav,Jā,Latviešu
1. e,1,e,9/1/2020,8/31/2021,1,21015611,Speciālās pamatizglītības programma izglītojamajiem ar mācīšanās traucējumiem,Nav,Nē,Latviešu
2. a,2,a,9/1/2020,8/31/2021,20,21011111,Pamatizglītības programma,V-9387,Jā,Latviešu
2. b,2,b,9/1/2020,8/31/2021,28,21013111,Pamatizglītības dabaszinību programma,V-9389,Jā,Latviešu
2. c,2,c,9/1/2020,8/31/2021,25,21013111,Pamatizglītības dabaszinību programma,V-9389,Jā,Latviešu
2. d,2,d,9/1/2020,8/31/2021,24,21012111,Pamatizglītības humanitārā un sociālā virziena programma,V-9388,Jā,Latviešu
2. e,2,e,9/1/2020,8/31/2021,24,21013111,Pamatizglītības dabaszinību programma,V-9389,Jā,Latviešu
2. f,2,f,9/1/2020,8/31/2021,22,21011111,Pamatizglītības programma,V-9387,Jā,Latviešu
2. f,2,f,9/1/2020,8/31/2021,2,21015611,Speciālās pamatizglītības programma izglītojamajiem ar mācīšanās traucējumiem,V-9390,Nē,Latviešu
3. a,3,a,9/1/2020,8/31/2021,27,21011111,Pamatizglītības programma,V-9387,Jā,Latviešu
3. a,3,a,9/1/2020,8/31/2021,1,21015611,Speciālās pamatizglītības programma izglītojamajiem ar mācīšanās traucējumiem,V-9390,Nē,Latviešu
3. b,3,b,9/1/2020,8/31/2021,28,21013111,Pamatizglītības dabaszinību programma,V-9389,Jā,Latviešu
3. c,3,c,9/1/2020,8/31/2021,29,21013111,Pamatizglītības dabaszinību programma,V-9389,Jā,Latviešu
3. d,3,d,9/1/2020,8/31/2021,30,21012111,Pamatizglītības humanitārā un sociālā virziena programma,V-9388,Jā,Latviešu
3. e,3,e,9/1/2020,8/31/2021,28,21013111,Pamatizglītības dabaszinību programma,V-9389,Jā,Latviešu
4. a,4,a,9/1/2020,8/31/2021,19,21011111,Pamatizglītības programma,Nav,Jā,Latviešu
4. a,4,a,9/1/2020,8/31/2021,4,21015611,Speciālās pamatizglītības programma izglītojamajiem ar mācīšanās traucējumiem,Nav,Nē,Latviešu
4. b,4,b,9/1/2020,8/31/2021,21,21011111,Pamatizglītības programma,Nav,Jā,Latviešu
